LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.8,110.25,150% - 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,192.6111,Rendah,20 - 50 mm,42.6556
-7.8,110.3,150% - 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,194.7065,Rendah,20 - 50 mm,44.6105
-7.8,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,206.3965,Rendah,20 - 50 mm,38.5103
-7.8,110.5,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,207.6896,Rendah,20 - 50 mm,44.8075
-7.75,110.15,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,200.6649,Rendah,50 - 100 mm,52.3077
-7.75,110.2,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,202.2757,Rendah,20 - 50 mm,48.2074
-7.75,110.25,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,204.0015,Rendah,20 - 50 mm,48.7077
-7.75,110.3,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,206.4814,Rendah,50 - 100 mm,51.4816
-7.75,110.35,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,210.5413,Rendah,20 - 50 mm,47.7997
-7.75,110.4,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,217.2374,Rendah,20 - 50 mm,48.4202
-7.75,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,218.5072,Rendah,20 - 50 mm,45.1479
-7.7,110.15,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,210.5861,Rendah,50 - 100 mm,62.0442
-7.7,110.2,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,212.5002,Rendah,50 - 100 mm,53.6932
-7.7,110.25,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,214.5001,Rendah,50 - 100 mm,54.0504
-7.7,110.3,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,217.2704,Rendah,50 - 100 mm,58.8542
-7.7,110.35,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,221.6766,Rendah,50 - 100 mm,74.8112
-7.7,110.4,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,228.8224,Rendah,50 - 100 mm,68.9724
-7.7,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,229.1773,Rendah,50 - 100 mm,64.296
-7.65,110.15,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,219.0814,Rendah,50 - 100 mm,72.4972
-7.65,110.25,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,223.295,Rendah,50 - 100 mm,61.1983
-7.65,110.35,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,230.8486,Menengah,100 - 150 mm,107.2366
-7.65,110.4,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,238.295,Rendah,50 - 100 mm,90.4794
-7.65,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,237.2655,Rendah,50 - 100 mm,75.8733
-7.6,110.4,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,244.5963,Rendah,50 - 100 mm,85.4368
-7.6,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,243.1627,Rendah,50 - 100 mm,84.8213
-7.55,110.45,> 200%,JUL,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,243.7972,Rendah,50 - 100 mm,93.9298
