LAT,LON,KelasSH_feb,Bulan_feb,Id Prov,KategoriSH_feb,SH_feb,KelasCH_feb,KategoriCH_feb,CH_feb,KelasSH_des,Bulan_des,KategoriSH_des,SH_des,KategoriCH_des,KelasCH_des,CH_des,KelasSH_jan,Bulan_jan,KategoriSH_jan,SH_jan,CH_jan,KelasCH_jan,KategoriCH_jan,rainfall,Sifat_Hujan_Rata,temperature,humidity,predicted_usable
-7.95,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.8933,200 - 300 mm,Menengah,283.6686,115% - 150%,DES,Atas Normal,119.9691,Menengah,200 - 300 mm,280.8531,85% - 115%,JAN,Normal,104.7419,296.6449,200 - 300 mm,Menengah,287.05553333333336,109.20143333333333,24.70940170940171,91.24786324786324,pepaya
-7.9,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.8185,400 - 500 mm,Tinggi,400.0405,115% - 150%,DES,Atas Normal,122.9281,Tinggi,400 - 500 mm,407.1277,85% - 115%,JAN,Normal,106.4773,360.6605,300 - 400 mm,Tinggi,389.2762333333333,112.40796666666668,24.70940170940171,91.24786324786324,pepaya
-7.9,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,108.0708,400 - 500 mm,Tinggi,427.4736,115% - 150%,DES,Atas Normal,122.9923,Tinggi,400 - 500 mm,403.5328,85% - 115%,JAN,Normal,107.2398,367.5719,300 - 400 mm,Tinggi,399.5261,112.76763333333334,24.70940170940171,91.24786324786324,pepaya
-7.9,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,106.7791,300 - 400 mm,Tinggi,373.2293,115% - 150%,DES,Atas Normal,122.3741,Tinggi,300 - 400 mm,351.0651,85% - 115%,JAN,Normal,108.2621,362.5627,300 - 400 mm,Tinggi,362.2857,112.47176666666668,24.70940170940171,91.24786324786324,pepaya
-7.9,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.9356,300 - 400 mm,Tinggi,318.486,115% - 150%,DES,Atas Normal,120.6698,Menengah,200 - 300 mm,293.4737,85% - 115%,JAN,Normal,107.7993,328.2199,300 - 400 mm,Tinggi,313.3932,111.1349,24.70940170940171,91.24786324786324,pepaya
-7.9,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.4923,200 - 300 mm,Menengah,271.886,115% - 150%,DES,Atas Normal,117.4854,Menengah,200 - 300 mm,242.789,85% - 115%,JAN,Normal,106.1195,288.6238,200 - 300 mm,Menengah,267.7662666666667,108.69906666666668,24.70940170940171,91.24786324786324,pepaya
-7.9,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.3408,200 - 300 mm,Menengah,269.2385,115% - 150%,DES,Atas Normal,116.5227,Menengah,200 - 300 mm,244.0501,85% - 115%,JAN,Normal,106.1758,284.3099,200 - 300 mm,Menengah,265.8661666666667,108.34643333333332,24.70940170940171,91.24786324786324,pepaya
-7.85,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,109.9024,400 - 500 mm,Tinggi,410.4192,115% - 150%,DES,Atas Normal,123.3487,Tinggi,400 - 500 mm,409.9316,85% - 115%,JAN,Normal,109.7023,346.5354,300 - 400 mm,Tinggi,388.96206666666666,114.3178,24.70940170940171,91.24786324786324,pepaya
-7.85,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,109.7461,300 - 400 mm,Tinggi,381.5112,115% - 150%,DES,Atas Normal,123.602,Tinggi,300 - 400 mm,373.5178,85% - 115%,JAN,Normal,111.0415,346.4117,300 - 400 mm,Tinggi,367.1469,114.79653333333331,24.70940170940171,91.24786324786324,pepaya
-7.85,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.8084,300 - 400 mm,Tinggi,355.2101,115% - 150%,DES,Atas Normal,121.9109,Tinggi,300 - 400 mm,330.0568,85% - 115%,JAN,Normal,111.3595,341.5127,300 - 400 mm,Tinggi,342.2598666666667,113.69293333333331,24.70940170940171,91.24786324786324,pepaya
-7.85,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.1296,300 - 400 mm,Tinggi,311.545,115% - 150%,DES,Atas Normal,119.094,Menengah,200 - 300 mm,281.9167,85% - 115%,JAN,Normal,110.1876,313.6855,300 - 400 mm,Tinggi,302.3824,111.4704,24.70940170940171,91.24786324786324,pepaya
-7.85,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.9384,200 - 300 mm,Menengah,274.9388,115% - 150%,DES,Atas Normal,115.2151,Menengah,200 - 300 mm,244.3754,85% - 115%,JAN,Normal,108.5615,287.6883,200 - 300 mm,Menengah,269.00083333333333,108.90500000000002,24.70940170940171,91.24786324786324,pepaya
-7.85,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.6603,200 - 300 mm,Menengah,291.494,115% - 150%,DES,Atas Normal,115.2222,Menengah,200 - 300 mm,265.1003,85% - 115%,JAN,Normal,109.785,305.5207,300 - 400 mm,Tinggi,287.37166666666667,109.55583333333334,24.70940170940171,91.24786324786324,pepaya
-7.8,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,109.381,300 - 400 mm,Tinggi,360.1296,115% - 150%,DES,Atas Normal,122.3256,Tinggi,300 - 400 mm,334.8324,115% - 150%,JAN,Atas Normal,115.4641,352.6072,300 - 400 mm,Tinggi,349.1897333333333,115.72356666666668,24.70940170940171,91.24786324786324,pepaya
-7.8,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.7037,300 - 400 mm,Tinggi,341.9913,115% - 150%,DES,Atas Normal,120.1048,Tinggi,300 - 400 mm,305.6665,115% - 150%,JAN,Atas Normal,115.0619,342.4118,300 - 400 mm,Tinggi,330.02320000000003,114.29013333333332,24.70940170940171,91.24786324786324,pepaya
-7.8,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,106.5599,300 - 400 mm,Tinggi,320.7866,115% - 150%,DES,Atas Normal,118.4291,Menengah,200 - 300 mm,295.5279,85% - 115%,JAN,Normal,113.3374,325.9267,300 - 400 mm,Tinggi,314.0804,112.77546666666667,24.70940170940171,91.24786324786324,pepaya
-8.0,110.25,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.0324,300 - 400 mm,Tinggi,387.4473,115% - 150%,DES,Atas Normal,133.239,Sangat Tinggi,> 500 mm,591.8555,85% - 115%,JAN,Normal,103.4972,447.6389,400 - 500 mm,Tinggi,475.6472333333333,113.92286666666666,25.224137931034484,90.80172413793105,pepaya
